,,,-3.28000010E-6,2.0000001E-3,,,,,-3.28000010E-6,-4.00000019E-3,,,,,-3.28000010E-6,0.0,,,,,-3.28000010E-6,0.0,,,,,-3.28000010E-6,0.0,
,,,-3.26000008E-6,0.0,,,,,-3.26000008E-6,-4.00000019E-3,,,,,-3.26000008E-6,-200.00000298E-3,,,,,-3.26000008E-6,-200.00000298E-3,,,,,-3.26000008E-6,0.0,
,,,-3.24000007E-6,0.0,,,,,-3.24000007E-6,0.0,,,,,-3.24000007E-6,0.0,,,,,-3.24000007E-6,0.0,,,,,-3.24000007E-6,0.0,
,,,-3.22000005E-6,2.0000001E-3,,,,,-3.22000005E-6,4.00000019E-3,,,,,-3.22000005E-6,0.0,,,,,-3.22000005E-6,0.0,,,,,-3.22000005E-6,0.0,
,,,-3.20000004E-6,0.0,,,,,-3.20000004E-6,0.0,,,,,-3.20000004E-6,0.0,,,,,-3.20000004E-6,0.0,,,,,-3.20000004E-6,0.0,
,,,-3.18000002E-6,4.00000019E-3,,,,,-3.18000002E-6,0.0,,,,,-3.18000002E-6,0.0,,,,,-3.18000002E-6,0.0,,,,,-3.18000002E-6,0.0,
,,,-3.16000001E-6,4.00000019E-3,,,,,-3.16000001E-6,0.0,,,,,-3.16000001E-6,200.00000298E-3,,,,,-3.16000001E-6,0.0,,,,,-3.16000001E-6,0.0,
,,,-3.13999999E-6,0.0,,,,,-3.13999999E-6,0.0,,,,,-3.13999999E-6,0.0,,,,,-3.13999999E-6,0.0,,,,,-3.13999999E-6,0.0,
,,,-3.11999997E-6,2.0000001E-3,,,,,-3.11999997E-6,0.0,,,,,-3.11999997E-6,0.0,,,,,-3.11999997E-6,-200.00000298E-3,,,,,-3.11999997E-6,0.0,
,,,-3.09999996E-6,2.0000001E-3,,,,,-3.09999996E-6,0.0,,,,,-3.09999996E-6,0.0,,,,,-3.09999996E-6,0.0,,,,,-3.09999996E-6,0.0,
,,,-3.07999994E-6,0.0,,,,,-3.07999994E-6,4.00000019E-3,,,,,-3.07999994E-6,-200.00000298E-3,,,,,-3.07999994E-6,200.00000298E-3,,,,,-3.07999994E-6,-400.00000596E-3,
,,,-3.05999993E-6,2.0000001E-3,,,,,-3.05999993E-6,4.00000019E-3,,,,,-3.05999993E-6,0.0,,,,,-3.05999993E-6,-200.00000298E-3,,,,,-3.05999993E-6,0.0,
,,,-3.03999991E-6,4.00000019E-3,,,,,-3.03999991E-6,-4.00000019E-3,,,,,-3.03999991E-6,0.0,,,,,-3.03999991E-6,0.0,,,,,-3.03999991E-6,0.0,
,,,-3.01999989E-6,2.0000001E-3,,,,,-3.01999989E-6,0.0,,,,,-3.01999989E-6,200.00000298E-3,,,,,-3.01999989E-6,0.0,,,,,-3.01999989E-6,0.0,
,,,-3.00000011E-6,0.0,,,,,-3.00000011E-6,0.0,,,,,-3.00000011E-6,0.0,,,,,-3.00000011E-6,0.0,,,,,-3.00000011E-6,0.0,
,,,-2.98000009E-6,2.0000001E-3,,,,,-2.98000009E-6,0.0,,,,,-2.98000009E-6,0.0,,,,,-2.98000009E-6,0.0,,,,,-2.98000009E-6,0.0,
,,,-2.96000007E-6,2.0000001E-3,,,,,-2.96000007E-6,0.0,,,,,-2.96000007E-6,0.0,,,,,-2.96000007E-6,0.0,,,,,-2.96000007E-6,0.0,
,,,-2.94000006E-6,2.0000001E-3,,,,,-2.94000006E-6,0.0,,,,,-2.94000006E-6,0.0,,,,,-2.94000006E-6,200.00000298E-3,,,,,-2.94000006E-6,-400.00000596E-3,
,,,-2.92000004E-6,2.0000001E-3,,,,,-2.92000004E-6,-4.00000019E-3,,,,,-2.92000004E-6,0.0,,,,,-2.92000004E-6,200.00000298E-3,,,,,-2.92000004E-6,-400.00000596E-3,
,,,-2.90000003E-6,2.0000001E-3,,,,,-2.90000003E-6,0.0,,,,,-2.90000003E-6,200.00000298E-3,,,,,-2.90000003E-6,0.0,,,,,-2.90000003E-6,0.0,
,,,-2.88000001E-6,6.00000005E-3,,,,,-2.88000001E-6,4.00000019E-3,,,,,-2.88000001E-6,0.0,,,,,-2.88000001E-6,-200.00000298E-3,,,,,-2.88000001E-6,0.0,
,,,-2.86000000E-6,6.00000005E-3,,,,,-2.86000000E-6,-4.00000019E-3,,,,,-2.86000000E-6,0.0,,,,,-2.86000000E-6,0.0,,,,,-2.86000000E-6,0.0,
,,,-2.83999998E-6,6.00000005E-3,,,,,-2.83999998E-6,0.0,,,,,-2.83999998E-6,0.0,,,,,-2.83999998E-6,0.0,,,,,-2.83999998E-6,0.0,
,,,-2.81999996E-6,2.0000001E-3,,,,,-2.81999996E-6,0.0,,,,,-2.81999996E-6,0.0,,,,,-2.81999996E-6,0.0,,,,,-2.81999996E-6,0.0,
,,,-2.79999995E-6,-2.0000001E-3,,,,,-2.79999995E-6,-4.00000019E-3,,,,,-2.79999995E-6,200.00000298E-3,,,,,-2.79999995E-6,200.00000298E-3,,,,,-2.79999995E-6,0.0,
,,,-2.77999993E-6,0.0,,,,,-2.77999993E-6,0.0,,,,,-2.77999993E-6,-200.00000298E-3,,,,,-2.77999993E-6,0.0,,,,,-2.77999993E-6,-400.00000596E-3,
,,,-2.75999992E-6,2.0000001E-3,,,,,-2.75999992E-6,-4.00000019E-3,,,,,-2.75999992E-6,0.0,,,,,-2.75999992E-6,0.0,,,,,-2.75999992E-6,0.0,
,,,-2.73999990E-6,4.00000019E-3,,,,,-2.73999990E-6,0.0,,,,,-2.73999990E-6,0.0,,,,,-2.73999990E-6,200.00000298E-3,,,,,-2.73999990E-6,-400.00000596E-3,
,,,-2.71999988E-6,2.0000001E-3,,,,,-2.71999988E-6,0.0,,,,,-2.71999988E-6,200.00000298E-3,,,,,-2.71999988E-6,200.00000298E-3,,,,,-2.71999988E-6,0.0,
,,,-2.7000001E-6,2.0000001E-3,,,,,-2.7000001E-6,0.0,,,,,-2.7000001E-6,0.0,,,,,-2.7000001E-6,-200.00000298E-3,,,,,-2.7000001E-6,0.0,
,,,-2.6800001E-6,0.0,,,,,-2.6800001E-6,0.0,,,,,-2.6800001E-6,-200.00000298E-3,,,,,-2.6800001E-6,0.0,,,,,-2.6800001E-6,-400.00000596E-3,
,,,-2.6600001E-6,0.0,,,,,-2.6600001E-6,0.0,,,,,-2.6600001E-6,0.0,,,,,-2.6600001E-6,0.0,,,,,-2.6600001E-6,0.0,
,,,-2.6400000E-6,2.0000001E-3,,,,,-2.6400000E-6,0.0,,,,,-2.6400000E-6,200.00000298E-3,,,,,-2.6400000E-6,0.0,,,,,-2.6400000E-6,0.0,
,,,-2.6200000E-6,-2.0000001E-3,,,,,-2.6200000E-6,0.0,,,,,-2.6200000E-6,0.0,,,,,-2.6200000E-6,0.0,,,,,-2.6200000E-6,0.0,
,,,-2.6000000E-6,2.0000001E-3,,,,,-2.6000000E-6,0.0,,,,,-2.6000000E-6,-200.00000298E-3,,,,,-2.6000000E-6,0.0,,,,,-2.6000000E-6,-400.00000596E-3,
,,,-2.5800000E-6,2.0000001E-3,,,,,-2.5800000E-6,0.0,,,,,-2.5800000E-6,200.00000298E-3,,,,,-2.5800000E-6,0.0,,,,,-2.5800000E-6,0.0,
,,,-2.5600000E-6,4.00000019E-3,,,,,-2.5600000E-6,-4.00000019E-3,,,,,-2.5600000E-6,0.0,,,,,-2.5600000E-6,200.00000298E-3,,,,,-2.5600000E-6,-400.00000596E-3,
,,,-2.5400000E-6,2.0000001E-3,,,,,-2.5400000E-6,0.0,,,,,-2.5400000E-6,0.0,,,,,-2.5400000E-6,200.00000298E-3,,,,,-2.5400000E-6,-400.00000596E-3,
,,,-2.5200000E-6,2.0000001E-3,,,,,-2.5200000E-6,-4.00000019E-3,,,,,-2.5200000E-6,0.0,,,,,-2.5200000E-6,0.0,,,,,-2.5200000E-6,0.0,
,,,-2.4999999E-6,4.00000019E-3,,,,,-2.4999999E-6,0.0,,,,,-2.4999999E-6,-200.00000298E-3,,,,,-2.4999999E-6,0.0,,,,,-2.4999999E-6,-400.00000596E-3,
,,,-2.4799999E-6,2.0000001E-3,,,,,-2.4799999E-6,4.00000019E-3,,,,,-2.4799999E-6,-200.00000298E-3,,,,,-2.4799999E-6,200.00000298E-3,,,,,-2.4799999E-6,-400.00000596E-3,
,,,-2.4599999E-6,2.0000001E-3,,,,,-2.4599999E-6,0.0,,,,,-2.4599999E-6,0.0,,,,,-2.4599999E-6,0.0,,,,,-2.4599999E-6,0.0,
,,,-2.4399999E-6,0.0,,,,,-2.4399999E-6,0.0,,,,,-2.4399999E-6,-200.00000298E-3,,,,,-2.4399999E-6,0.0,,,,,-2.4399999E-6,-400.00000596E-3,
,,,-2.4200001E-6,2.0000001E-3,,,,,-2.4200001E-6,0.0,,,,,-2.4200001E-6,0.0,,,,,-2.4200001E-6,200.00000298E-3,,,,,-2.4200001E-6,-400.00000596E-3,
,,,-2.4000001E-6,2.0000001E-3,,,,,-2.4000001E-6,4.00000019E-3,,,,,-2.4000001E-6,0.0,,,,,-2.4000001E-6,0.0,,,,,-2.4000001E-6,0.0,
,,,-2.3800001E-6,0.0,,,,,-2.3800001E-6,4.00000019E-3,,,,,-2.3800001E-6,-200.00000298E-3,,,,,-2.3800001E-6,0.0,,,,,-2.3800001E-6,-400.00000596E-3,
,,,-2.3600001E-6,2.0000001E-3,,,,,-2.3600001E-6,0.0,,,,,-2.3600001E-6,0.0,,,,,-2.3600001E-6,-200.00000298E-3,,,,,-2.3600001E-6,0.0,
,,,-2.3400000E-6,0.0,,,,,-2.3400000E-6,0.0,,,,,-2.3400000E-6,200.00000298E-3,,,,,-2.3400000E-6,0.0,,,,,-2.3400000E-6,0.0,
,,,-2.3200000E-6,0.0,,,,,-2.3200000E-6,0.0,,,,,-2.3200000E-6,0.0,,,,,-2.3200000E-6,0.0,,,,,-2.3200000E-6,0.0,
,,,-2.3000000E-6,4.00000019E-3,,,,,-2.3000000E-6,0.0,,,,,-2.3000000E-6,-200.00000298E-3,,,,,-2.3000000E-6,-200.00000298E-3,,,,,-2.3000000E-6,0.0,
,,,-2.2800000E-6,2.0000001E-3,,,,,-2.2800000E-6,0.0,,,,,-2.2800000E-6,0.0,,,,,-2.2800000E-6,-200.00000298E-3,,,,,-2.2800000E-6,0.0,
,,,-2.2600000E-6,4.00000019E-3,,,,,-2.2600000E-6,0.0,,,,,-2.2600000E-6,200.00000298E-3,,,,,-2.2600000E-6,-200.00000298E-3,,,,,-2.2600000E-6,400.00000596E-3,
,,,-2.2400000E-6,2.0000001E-3,,,,,-2.2400000E-6,-4.00000019E-3,,,,,-2.2400000E-6,-200.00000298E-3,,,,,-2.2400000E-6,0.0,,,,,-2.2400000E-6,-400.00000596E-3,
