Time,Voltage,fs
2.9480001279828006e-06,-0.16000000009999998,250002498.4999831
2.9520000860072006e-06,-0.12000000319999996,250002498.4999831
2.9560000440316e-06,-0.12000000319999996,250002498.4999831
2.960000183056001e-06,-0.07999999880000003,250002498.4999831
2.9640001410804007e-06,-0.07999999880000003,250002498.4999831
2.9680000991048007e-06,-0.07999999880000003,250002498.4999831
2.9720000561292003e-06,-0.07999999880000003,250002498.4999831
2.976000196153601e-06,-0.07999999880000003,250002498.4999831
2.9800001541780008e-06,-0.03999999999605,250002498.4999831
2.9840001112024004e-06,-0.03999999999605,250002498.4999831
2.9880000692268004e-06,-0.03999999999605,250002498.4999831
2.9920000272512e-06,0.0,250002498.4999831
2.996000166275601e-06,-0.03999999999605,250002498.4999831
3.0000001243000005e-06,0.0,250002498.4999831
3.0040000823244005e-06,0.0,250002498.4999831
3.0080000403488e-06,0.0,250002498.4999831
3.012000179373201e-06,0.03999999999605,250002498.4999831
3.0160001373976006e-06,0.03999999999605,250002498.4999831
3.020000095422e-06,0.03999999999605,250002498.4999831
3.0240000524464003e-06,0.03999999999605,250002498.4999831
3.028000192470801e-06,0.03999999999605,250002498.4999831
3.032000149495201e-06,0.07999999880000003,250002498.4999831
3.0360001075196004e-06,0.07999999880000003,250002498.4999831
3.0400000655440004e-06,0.07999999880000003,250002498.4999831
3.0440002045684013e-06,0.07999999880000003,250002498.4999831
3.048000162592801e-06,0.07999999880000003,250002498.4999831
3.052000120617201e-06,0.12000000319999996,250002498.4999831
3.0560000786416005e-06,0.12000000319999996,250002498.4999831
3.060000035666e-06,0.12000000319999996,250002498.4999831
3.0639999936903997e-06,0.12000000319999996,250002498.4999831
3.0679999517147997e-06,0.12000000319999996,250002498.4999831
3.0720002727392015e-06,0.12000000319999996,250002498.4999831
3.0760002307636015e-06,0.16000000009999998,250002498.4999831
3.080000188788001e-06,0.12000000319999996,250002498.4999831
3.0840001458124008e-06,0.16000000009999998,250002498.4999831
3.0880001038368003e-06,0.16000000009999998,250002498.4999831
3.0920000618612e-06,0.19999999700000004,250002498.4999831
3.0960000188856e-06,0.19999999700000004,250002498.4999831
3.09999997691e-06,0.16000000009999998,250002498.4999831
3.1040002989344017e-06,0.19999999700000004,250002498.4999831
3.108000255958802e-06,0.19999999700000004,250002498.4999831
3.1120002139832014e-06,0.19999999700000004,250002498.4999831
3.1160001720076005e-06,0.19999999700000004,250002498.4999831
3.1200001290320006e-06,0.24000000589999992,250002498.4999831
3.1240000870564006e-06,0.24000000589999992,250002498.4999831
3.1280000450808e-06,0.24000000589999992,250002498.4999831
3.1320000021052e-06,0.24000000589999992,250002498.4999831
3.1359999601295994e-06,0.24000000589999992,250002498.4999831
3.140000282154002e-06,0.24000000589999992,250002498.4999831
3.1440002391784012e-06,0.24000000589999992,250002498.4999831
3.1480001972028012e-06,0.24000000589999992,250002498.4999831
3.152000155227201e-06,0.24000000589999992,250002498.4999831
3.156000112251601e-06,0.24000000589999992,250002498.4999831
3.160000070276e-06,0.24000000589999992,250002498.4999831
3.1640000283003996e-06,0.24000000589999992,250002498.4999831
3.1679999863247996e-06,0.27999999080000015,250002498.4999831
3.1719999433491997e-06,0.24000000589999992,250002498.4999831
3.1760002653736014e-06,0.27999999080000015,250002498.4999831
3.1800002223980015e-06,0.27999999080000015,250002498.4999831
3.184000180422401e-06,0.27999999080000015,250002498.4999831
3.188000138446801e-06,0.24000000589999992,250002498.4999831
3.1920000964712006e-06,0.27999999080000015,250002498.4999831
3.1960000534956003e-06,0.27999999080000015,250002498.4999831
3.20000001152e-06,0.27999999080000015,250002498.4999831
3.2039999695444e-06,0.27999999080000015,250002498.4999831
3.2080002905688017e-06,0.27999999080000015,250002498.4999831
3.2120002485932017e-06,0.27999999080000015,250002498.4999831
3.2160002066176013e-06,0.27999999080000015,250002498.4999831
3.220000163642001e-06,0.27999999080000015,250002498.4999831
3.2240001216664005e-06,0.27999999080000015,250002498.4999831
3.2280000796908005e-06,0.27999999080000015,250002498.4999831
3.2320000367152006e-06,0.27999999080000015,250002498.4999831
3.2359999947396e-06,0.27999999080000015,250002498.4999831
3.2399999527639997e-06,0.27999999080000015,250002498.4999831
3.244000273788401e-06,0.27999999080000015,250002498.4999831
3.248000231812801e-06,0.27999999080000015,250002498.4999831
3.2520001898372007e-06,0.27999999080000015,250002498.4999831
3.256000146861601e-06,0.27999999080000015,250002498.4999831
3.2600001048860008e-06,0.27999999080000015,250002498.4999831
3.2640000629104003e-06,0.27999999080000015,250002498.4999831
3.2680000199348e-06,0.27999999080000015,250002498.4999831
3.2719999779591996e-06,0.27999999080000015,250002498.4999831
3.2759999359835996e-06,0.27999999080000015,250002498.4999831
3.2800002570080014e-06,0.27999999080000015,250002498.4999831
3.2840002150324014e-06,0.27999999080000015,250002498.4999831
3.288000173056801e-06,0.24000000589999992,250002498.4999831
3.2920001300812006e-06,0.24000000589999992,250002498.4999831
3.2960000881056e-06,0.24000000589999992,250002498.4999831
3.3000000461299998e-06,0.27999999080000015,250002498.4999831
3.3040000031544003e-06,0.24000000589999992,250002498.4999831
3.3079999611788e-06,0.24000000589999992,250002498.4999831
3.3120002832032016e-06,0.24000000589999992,250002498.4999831
3.3160002402276017e-06,0.24000000589999992,250002498.4999831
3.3200001982520013e-06,0.24000000589999992,250002498.4999831
3.3240001562764004e-06,0.24000000589999992,250002498.4999831
3.3280001133008005e-06,0.24000000589999992,250002498.4999831
3.3320000713252005e-06,0.19999999700000004,250002498.4999831
3.3360000293496e-06,0.24000000589999992,250002498.4999831
3.339999987374e-06,0.19999999700000004,250002498.4999831
3.3439999443983993e-06,0.19999999700000004,250002498.4999831
3.348000266422802e-06,0.19999999700000004,250002498.4999831
3.352000223447201e-06,0.19999999700000004,250002498.4999831
3.356000181471601e-06,0.19999999700000004,250002498.4999831
3.3600001394960007e-06,0.19999999700000004,250002498.4999831
3.3640000975204007e-06,0.19999999700000004,250002498.4999831
3.3680000545448e-06,0.19999999700000004,250002498.4999831
3.3720000125691995e-06,0.19999999700000004,250002498.4999831
3.3759999705935995e-06,0.16000000009999998,250002498.4999831
3.3800002916180013e-06,0.16000000009999998,250002498.4999831
3.3840002496424013e-06,0.16000000009999998,250002498.4999831
3.388000207666801e-06,0.16000000009999998,250002498.4999831
3.392000164691201e-06,0.16000000009999998,250002498.4999831
3.396000122715601e-06,0.12000000319999996,250002498.4999831
3.4000000807400005e-06,0.16000000009999998,250002498.4999831
3.4040000377644e-06,0.12000000319999996,250002498.4999831
